longitude	latitude	speed
-122.769153	45.4397	1006.7037037037037
-122.836385	45.506415	13.049482163406214
-122.837403	45.506685	16.8
-122.838417	45.506952	16.6
-122.83935	45.507195	15.6
-122.840072	45.507388	12.4
-122.840515	45.507472	7.4
-122.840693	45.507327	4.4
-122.840733	45.507223	0.65
-122.835405	45.506137	8.363636363636363
-122.840818	45.506997	8.033333333333333
-122.747612	45.422553	13.9501953125
-122.746772	45.42172	22.4
-122.745963	45.420937	21.2
-122.745252	45.420137	20.8
-122.744705	45.419227	21.8
-122.744448	45.418235	22.2
-122.744387	45.417193	23.2
-122.744275	45.416167	22.6
-122.840988	45.506622	14.18984962406015
-122.834427	45.505875	8.628571428571428
-122.833448	45.505615	16.2
-122.832468	45.505348	16.2
-122.800688	45.476463	11.324380165289256
-122.801005	45.47646	5
-122.801558	45.476452	8.8
-122.802368	45.47644	12.6
-122.803172	45.476432	12.4
-122.804008	45.476423	13
-122.804923	45.476417	14.2
-122.805853	45.47641	14.2
-122.80666	45.476413	12.6
-122.807565	45.47642	14
-122.808552	45.476438	15.2
-122.809548	45.476447	15.4
-122.810442	45.476442	13.8
-122.811238	45.476447	12.2
-122.812113	45.476443	13.5
-122.828173	45.50419	10.772151898734178
-122.829235	45.504488	17.2
-122.830392	45.504797	19
-122.831482	45.505087	18.4
-122.82658	45.49517	15.244444444444444
-122.800593	45.476463	10.238578680203046
-122.82647	45.494877	10.287917737789202
-122.826325	45.494373	6
-122.744185	45.408228	15.028602860286028
-122.74424	45.407025	26.6
-122.744365	45.405823	26.6
-122.74455	45.404627	26.6
-122.744805	45.403437	26.4
-122.745123	45.402257	26.4
-122.745508	45.401088	26.6
-122.745952	45.399937	26
-122.744187	45.409435	26.45
-122.746412	45.398795	26.42222222222222
-122.747335	45.396488	26.4
-122.747803	45.39533	26.6
-122.748273	45.394172	26.6
-122.748742	45.393013	26.4
-122.749213	45.391855	26.6
-122.749665	45.390695	26.4
-122.750115	45.389537	26.6
-122.750563	45.388382	26.2
-122.746873	45.397647	26.475
-122.744193	45.41064	26.436363636363637
-122.744205	45.41182	26
-122.744217	45.412968	25.4
-122.82625	45.493833	14.792986425339366
-122.826222	45.493143	15.8
-122.82623	45.492328	18
-122.82623	45.491528	17.4
-122.826233	45.490845	14.6
-122.826233	45.490287	11.8
-122.826235	45.489943	6.8
-122.826235	45.489835	1.8
-122.826233	45.489827	0.022222222222222223
-122.826227	45.489652	5
-122.82622	45.489227	10
-122.826222	45.48866	12.8
-122.826228	45.487987	15
-122.826225	45.487318	14.4
-122.826247	45.486692	14
-122.826238	45.48595	16.8
-122.826242	45.485177	16.8
-122.74425	45.415142	15.757294429708223
-122.74423	45.414077	23.6
-122.826415	45.494707	14.688413948256468
-122.826805	45.49565	6.866666666666666
-122.827172	45.496333	15.4
-122.827618	45.497075	17.8
-122.777597	45.443712	12.16508795669824
-122.779003	45.444382	26.2
-122.780415	45.445045	26.6
-122.781768	45.445777	26.4
-122.782783	45.446732	26.4
-122.783385	45.447847	26.4
-122.783872	45.448993	26.2
-122.784325	45.450153	26.6
-122.776178	45.443048	26.425
-122.784607	45.451338	26.42222222222222
-122.784628	45.453747	26.5
-122.784617	45.454955	26.8
-122.784612	45.456157	26.4
-122.784668	45.457345	26.2
-122.784853	45.458523	26.2
-122.785132	45.459707	26.4
-122.785503	45.460883	26.6
-122.785878	45.462057	26.4
-122.784643	45.452538	26.425
-122.774772	45.442378	26.418181818181818
-122.77337	45.441708	26.4
-122.771965	45.44104	26.4
-122.767788	45.438987	26.333333333333332
-122.76646	45.438237	26.4
-122.76517	45.437455	26.6
-122.763922	45.436635	26.4
-122.762733	45.435763	26.6
-122.76165	45.434828	26.6
-122.760652	45.433855	26.4
-122.759665	45.432875	26.4
-122.75868	45.431897	26.4
-122.757737	45.430907	26.2
-122.756775	45.429932	26.2
-122.755795	45.428963	26.2
-122.754735	45.42805	26
-122.753575	45.427283	24.8
-122.752335	45.4266	24.4
-122.7511	45.425923	24.4
-122.750003	45.425178	23.6
-122.74915	45.424337	22.8
-122.748402	45.423442	22.8
-122.786162	45.463242	26.032558139534885
-122.786283	45.464438	26.4
-122.786265	45.465635	26.4
-122.751012	45.387233	25.648717948717948
-122.794873	45.476558	22.856862745098038
-122.795608	45.47656	11.4
-122.796525	45.476543	14.2
-122.797432	45.476525	14
-122.798312	45.476512	13.8
-122.799198	45.476485	13.6
-122.799958	45.476473	11.8
-122.800465	45.476465	7.6
-122.827352	45.503945	9.419294990723563
-122.826927	45.503813	6.4
-122.826878	45.503568	5.8
-122.827157	45.503145	10.8
-122.82753	45.50255	14.8
-122.827958	45.501802	18
-122.828297	45.50102	17.8
-122.828508	45.500217	18
-122.828505	45.499395	18
-122.828348	45.498603	17.8
-122.828052	45.49783	17.8
-122.794432	45.476548	9.10586011342155
-122.770558	45.440372	20.508333333333333
-122.794263	45.476542	20.885106382978723
-122.793612	45.476538	1.96
-122.786212	45.466833	17.8
-122.786168	45.468033	26.4
-122.786128	45.469237	26.4
-122.78608	45.470447	26.8
-122.786157	45.47161	25.6
-122.786548	45.472685	24.4
-122.787215	45.473637	23.4
-122.787978	45.474473	21.8
-122.788728	45.475228	20.2
-122.789405	45.475863	17.4
-122.789878	45.476307	12.2
-122.79015	45.476538	7
-122.843328	45.505205	9.564705882352941
-122.843067	45.505312	5.2
-122.842583	45.505463	9
-122.790528	45.47656	9.628838451268358
-122.791095	45.47656	8.8
-122.791932	45.476552	13
-122.792828	45.47654	14
-122.794158	45.476542	10.2
-122.75145	45.386133	24.17938144329897
-122.841348	45.506192	15.456213511259383
-122.75241	45.384193	15.51447477253929
-122.823077	45.476418	18.30709677419355
-122.822267	45.476423	12.6
-122.821388	45.476423	13.4
-122.751943	45.38512	18.355263157894736
-122.82043	45.47644	18.37880794701987
-122.819565	45.476442	13.6
-122.818832	45.47643	11.2
-122.825317	45.476372	12.538461538461538
-122.818193	45.476432	12.25
-122.816625	45.476432	12
-122.742393	45.377882	15.944676409185805
-122.742393	45.377882	0
-122.742388	45.377868	0.25
-122.742377	45.377803	1.4
-122.742378	45.37775	1
-122.742388	45.377685	1.4
-122.817498	45.476433	16.24814422057264
-122.82582	45.476363	11.50909090909091
-122.826117	45.476427	7
-122.826153	45.476635	4.4
-122.841918	45.505768	10.682926829268293
-122.826218	45.484437	10.690909090909091
-122.826217	45.483705	16.2
-122.826212	45.482963	16.4
-122.826208	45.482215	16.4
-122.826203	45.481472	16.4
-122.8262	45.48077	15.2
-122.826197	45.480047	16.4
-122.815758	45.476448	9.548387096774194
-122.814877	45.476448	13.6
-122.813997	45.476443	13.6
-122.813072	45.476445	14.4
-122.826205	45.479237	9.716417910447761
-122.82619	45.478407	18.2
-122.826167	45.477665	16
-122.826152	45.477102	11.4
-122.826152	45.476802	5.8
-122.74245	45.377607	15.594936708860759
-122.742543	45.377588	1.6
-122.824655	45.476385	16.219037871033777
-122.743093	45.377567	16.345398138572907
-122.750745	45.382615	10.175925925925926
-122.75165	45.382605	14
-122.752527	45.382588	13.6
-122.753203	45.38257	10.6
-122.753547	45.382657	6.5
-122.753478	45.382835	4.166666666666667
-122.753437	45.382877	1.4
-122.749825	45.382612	9.114285714285714
-122.753428	45.382887	8
-122.753428	45.382887	0
-122.753428	45.382887	0
-122.753428	45.382887	0
-122.75342	45.382895	0.25
-122.75339	45.382927	0.8
-122.753233	45.383088	4
-122.742713	45.377578	7.882022471910112
-122.753428	45.382887	9.006535947712418
-122.748927	45.382623	7.78
-122.753437	45.382877	10.210526315789474
-122.747213	45.382653	10.833333333333334
-122.748068	45.382633	13.2
-122.743545	45.377468	10.313253012048193
-122.743853	45.377437	3.8333333333333335
-122.743932	45.377513	2.2
-122.743943	45.37754	0.6
-122.743993	45.377775	4
-122.74404	45.378277	10.8
-122.744037	45.378875	13.2
-122.744033	45.379652	14.166666666666666
-122.743403	45.377542	6.642857142857143
-122.752873	45.383487	8.133720930232558
-122.744057	45.380885	8.191666666666666
-122.74405	45.381478	13.4
-122.74424	45.382042	12.8
-122.74476	45.382478	12.6
-122.74552	45.38267	12.6
-122.746347	45.382697	12.6
-122.744037	45.380283	12.9
(261 rows)
